"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","Anthony Davis",10800,"Mil@NO 08:00PM ET",69.833,"NO"
"SF/PF","Kevin Durant",10500,"GS@Por 10:00PM ET",60.417,"GS"
"PF/C","DeMarcus Cousins",10400,"Sac@Mia 07:30PM ET",47.583,"Sac"
"PG","Damian Lillard",9500,"GS@Por 10:00PM ET",55.333,"Por"
"PG","Stephen Curry",9200,"GS@Por 10:00PM ET",35.917,"GS"
"PG","Giannis Antetokounmpo",8900,"Mil@NO 08:00PM ET",48.333,"Mil"
"C","Hassan Whiteside",8700,"Sac@Mia 07:30PM ET",48.833,"Mia"
"SF/PF","Kawhi Leonard",8600,"Uta@SA 08:30PM ET",45.375,"SA"
"C","Karl-Anthony Towns",8500,"Mem@Min 08:00PM ET",36.000,"Min"
"SF","Paul George",8300,"LAL@Ind 07:00PM ET",38.000,"Ind"
"C","Andre Drummond",8200,"NY@Det 07:30PM ET",42.917,"Det"
"PF/C","Draymond Green",7700,"GS@Por 10:00PM ET",43.500,"GS"
"SF","Carmelo Anthony",7500,"NY@Det 07:30PM ET",32.125,"NY"
"PF/C","Myles Turner",7300,"LAL@Ind 07:00PM ET",43.917,"Ind"
"PG/SG","C.J. McCollum",7200,"GS@Por 10:00PM ET",38.667,"Por"
"PF","Kristaps Porzingis",7100,"NY@Det 07:30PM ET",32.000,"NY"
"PF/C","LaMarcus Aldridge",7000,"Uta@SA 08:30PM ET",32.083,"SA"
"C","Rudy Gobert",6900,"Uta@SA 08:30PM ET",34.000,"Uta"
"SF","Gordon Hayward",6800,"Uta@SA 08:30PM ET",0,"Uta"
"PG","Goran Dragic",6700,"Sac@Mia 07:30PM ET",34.583,"Mia"
"PG","D'Angelo Russell",6700,"LAL@Ind 07:00PM ET",30.583,"LAL"
"PG","Mike Conley",6600,"Mem@Min 08:00PM ET",34.333,"Mem"
"SG","Klay Thompson",6500,"GS@Por 10:00PM ET",27.250,"GS"
"PG","Jrue Holiday",6500,"Mil@NO 08:00PM ET",0,"NO"
"PG","Reggie Jackson",6400,"NY@Det 07:30PM ET",0,"Det"
"SF","Andrew Wiggins",6400,"Mem@Min 08:00PM ET",33.250,"Min"
"SG","Tyreke Evans",6400,"Mil@NO 08:00PM ET",0,"NO"
"PF","Julius Randle",6300,"LAL@Ind 07:00PM ET",31.500,"LAL"
"PF/C","Gorgui Dieng",6200,"Mem@Min 08:00PM ET",39.125,"Min"
"SF","Rudy Gay",6200,"Sac@Mia 07:30PM ET",37.417,"Sac"
"PF","Derrick Favors",6200,"Uta@SA 08:30PM ET",27.000,"Uta"
"SF/PF","Tobias Harris",6100,"NY@Det 07:30PM ET",30.500,"Det"
"C","Marc Gasol",6100,"Mem@Min 08:00PM ET",35.583,"Mem"
"C","Nikola Vucevic",6100,"Orl@Phi 07:00PM ET",32.583,"Orl"
"SF","Chandler Parsons",6000,"Mem@Min 08:00PM ET",0,"Mem"
"SG","Evan Fournier",6000,"Orl@Phi 07:00PM ET",28.000,"Orl"
"PG","Jeff Teague",6000,"LAL@Ind 07:00PM ET",25.917,"Ind"
"SF/PF","Jabari Parker",6000,"Mil@NO 08:00PM ET",25.667,"Mil"
"C","Pau Gasol",6000,"Uta@SA 08:30PM ET",24.438,"SA"
"PF","Zach Randolph",5900,"Mem@Min 08:00PM ET",32.917,"Mem"
"PG","Tim Frazier",5900,"Mil@NO 08:00PM ET",35.750,"NO"
"PG","George Hill",5800,"Uta@SA 08:30PM ET",33.083,"Uta"
"SG","Zach LaVine",5700,"Mem@Min 08:00PM ET",31.750,"Min"
"SF/PF","Aaron Gordon",5700,"Orl@Phi 07:00PM ET",28.500,"Orl"
"C","Joel Embiid",5700,"Orl@Phi 07:00PM ET",27.125,"Phi"
"PF","Thaddeus Young",5700,"LAL@Ind 07:00PM ET",29.167,"Ind"
"SG","Rodney Hood",5700,"Uta@SA 08:30PM ET",24.083,"Uta"
"PG","Derrick Rose",5600,"NY@Det 07:30PM ET",25.625,"NY"
"PG","Ricky Rubio",5600,"Mem@Min 08:00PM ET",19.625,"Min"
"PG","Elfrid Payton",5600,"Orl@Phi 07:00PM ET",28.750,"Orl"
"PF/C","Serge Ibaka",5600,"Orl@Phi 07:00PM ET",21.250,"Orl"
"C","Greg Monroe",5600,"Mil@NO 08:00PM ET",28.333,"Mil"
"PG","Ty Lawson",5500,"Sac@Mia 07:30PM ET",27.417,"Sac"
"PG/SG","Jordan Clarkson",5500,"LAL@Ind 07:00PM ET",22.500,"LAL"
"PG","Ish Smith",5400,"NY@Det 07:30PM ET",24.417,"Det"
"SG","Monta Ellis",5400,"LAL@Ind 07:00PM ET",25.083,"Ind"
"SF","Marcus Morris",5300,"NY@Det 07:30PM ET",29.167,"Det"
"PG","Darren Collison",5300,"Sac@Mia 07:30PM ET",0,"Sac"
"SF","Justise Winslow",5200,"Sac@Mia 07:30PM ET",30.583,"Mia"
"PF/C","Nerlens Noel",5100,"Orl@Phi 07:00PM ET",0,"Phi"
"C","Joakim Noah",5000,"NY@Det 07:30PM ET",21.250,"NY"
"SG/SF","Joe Johnson",4900,"Uta@SA 08:30PM ET",26.583,"Uta"
"SF","Robert Covington",4800,"Orl@Phi 07:00PM ET",16.500,"Phi"
"PG","Sergio  Rodriguez",4700,"Orl@Phi 07:00PM ET",29.000,"Phi"
"PF/C","Jahlil Okafor",4700,"Orl@Phi 07:00PM ET",14.375,"Phi"
"SF","Luol Deng",4700,"LAL@Ind 07:00PM ET",20.750,"LAL"
"SG","Kentavious Caldwell-Pope",4600,"NY@Det 07:30PM ET",19.917,"Det"
"SG/SF","James Ennis",4600,"Mem@Min 08:00PM ET",24.667,"Mem"
"PF","JaMychal Green",4600,"Mem@Min 08:00PM ET",22.250,"Mem"
"SF/PF","Dario Saric",4600,"Orl@Phi 07:00PM ET",14.375,"Phi"
"C","Mason Plumlee",4600,"GS@Por 10:00PM ET",22.250,"Por"
"SG/SF","Josh Richardson",4500,"Sac@Mia 07:30PM ET",0,"Mia"
"PG","Jerryd Bayless",4500,"Orl@Phi 07:00PM ET",0,"Phi"
"PF","Al-Farouq Aminu",4400,"GS@Por 10:00PM ET",20.833,"Por"
"PG/SG","Tyler Johnson",4300,"Sac@Mia 07:30PM ET",22.167,"Mia"
"SG/SF","Evan Turner",4300,"GS@Por 10:00PM ET",16.667,"Por"
"SG","Dion Waiters",4200,"Sac@Mia 07:30PM ET",22.750,"Mia"
"C","Timofey Mozgov",4200,"LAL@Ind 07:00PM ET",20.917,"LAL"
"PG/SG","Matthew Dellavedova",4200,"Mil@NO 08:00PM ET",25.167,"Mil"
"PG","Kris Dunn",4100,"Mem@Min 08:00PM ET",13.625,"Min"
"SG","Lou Williams",4100,"LAL@Ind 07:00PM ET",20.917,"LAL"
"SF","Jerami Grant",4000,"Orl@Phi 07:00PM ET",15.625,"Phi"
"C","Bismack Biyombo",4000,"Orl@Phi 07:00PM ET",11.000,"Orl"
"SG/SF","Allen Crabbe",4000,"GS@Por 10:00PM ET",22.750,"Por"
"SF","Maurice Harkless",4000,"GS@Por 10:00PM ET",17.833,"Por"
"C","Zaza Pachulia",4000,"GS@Por 10:00PM ET",17.833,"GS"
"SG","E'Twaun Moore",4000,"Mil@NO 08:00PM ET",20.167,"NO"
"PG","Brandon Jennings",3900,"NY@Det 07:30PM ET",16.375,"NY"
"SG","Tony Allen",3900,"Mem@Min 08:00PM ET",0,"Mem"
"SF","Matt Barnes",3900,"Sac@Mia 07:30PM ET",23.333,"Sac"
"SF/PF","Jeff Green",3900,"Orl@Phi 07:00PM ET",19.750,"Orl"
"PG","Patty Mills",3900,"Uta@SA 08:30PM ET",21.688,"SA"
"SG","Danny Green",3900,"Uta@SA 08:30PM ET",0,"SA"
"SF","Jonathon Simmons",3900,"Uta@SA 08:30PM ET",18.813,"SA"
"C","Dewayne Dedmon",3900,"Uta@SA 08:30PM ET",21.313,"SA"
"SG","Courtney Lee",3800,"NY@Det 07:30PM ET",14.500,"NY"
"SG","Vince Carter",3800,"Mem@Min 08:00PM ET",18.833,"Mem"
"SF","Brandon Ingram",3800,"LAL@Ind 07:00PM ET",11.500,"LAL"
"PF","Mirza Teletovic",3800,"Mil@NO 08:00PM ET",10.583,"Mil"
"PG","Tony Parker",3800,"Uta@SA 08:30PM ET",13.250,"SA"
"PF","David Lee",3800,"Uta@SA 08:30PM ET",20.063,"SA"
"PF","Jon Leuer",3700,"NY@Det 07:30PM ET",20.250,"Det"
"SG","Arron Afflalo",3700,"Sac@Mia 07:30PM ET",13.750,"Sac"
"PF","Richaun Holmes",3700,"Orl@Phi 07:00PM ET",16.875,"Phi"
"SF","Andre Iguodala",3700,"GS@Por 10:00PM ET",15.583,"GS"
"C","Al Jefferson",3700,"LAL@Ind 07:00PM ET",12.250,"Ind"
"SG","Manu Ginobili",3700,"Uta@SA 08:30PM ET",20.000,"SA"
"PG","T.J. McConnell",3600,"Orl@Phi 07:00PM ET",15.125,"Phi"
"SF","Lance Stephenson",3600,"Mil@NO 08:00PM ET",19.417,"NO"
