"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG/SF","Tony Snell",3400,"Ind@Mil 08:00PM ET",17.167,"Mil"
"C","Kosta Koufos",3400,"Sac@Orl 07:00PM ET",17.200,"Sac"
"C","Bismack Biyombo",3400,"Sac@Orl 07:00PM ET",12.833,"Orl"
"C","Al Jefferson",3300,"Ind@Mil 08:00PM ET",12.625,"Ind"
"PG","Terry Rozier",3300,"Bos@Cle 08:00PM ET",17.333,"Bos"
"SF","Jaylen Brown",3300,"Bos@Cle 08:00PM ET",12.333,"Bos"
"PF","Kelly Olynyk",3300,"Bos@Cle 08:00PM ET",0,"Bos"
"PF","Mirza Teletovic",3200,"Ind@Mil 08:00PM ET",10.563,"Mil"
"SG","Malcolm Brogdon",3100,"Ind@Mil 08:00PM ET",17.000,"Mil"
"SF/PF","Michael Beasley",3100,"Ind@Mil 08:00PM ET",10.125,"Mil"
"PG/SG","Iman Shumpert",3100,"Bos@Cle 08:00PM ET",14.500,"Cle"
"PG/SG","Rodney Stuckey",3000,"Ind@Mil 08:00PM ET",7.750,"Ind"
"PG","Jason Terry",3000,"Ind@Mil 08:00PM ET",9.000,"Mil"
"PG","Aaron Brooks",3000,"Ind@Mil 08:00PM ET",14.750,"Ind"
"SG","Khris Middleton",3000,"Ind@Mil 08:00PM ET",0,"Mil"
"SG","Joe Young",3000,"Ind@Mil 08:00PM ET",9.833,"Ind"
"SG","Rashad Vaughn",3000,"Ind@Mil 08:00PM ET",14.438,"Mil"
"SF","Steve Novak",3000,"Ind@Mil 08:00PM ET",0,"Mil"
"SF","Georges Niang",3000,"Ind@Mil 08:00PM ET",4.125,"Ind"
"SF","Glenn Robinson III",3000,"Ind@Mil 08:00PM ET",7.750,"Ind"
"PF","Lavoy Allen",3000,"Ind@Mil 08:00PM ET",8.500,"Ind"
"PF","Rakeem Christmas",3000,"Ind@Mil 08:00PM ET",2.750,"Ind"
"PF","Thon Maker",3000,"Ind@Mil 08:00PM ET",1.250,"Mil"
"C","Miles Plumlee",3000,"Ind@Mil 08:00PM ET",9.750,"Mil"
"C","John Henson",3000,"Ind@Mil 08:00PM ET",13.875,"Mil"
"C","Kevin Seraphin",3000,"Ind@Mil 08:00PM ET",10.167,"Ind"
"PG/SG","Ian Clark",3000,"OKC@GS 10:30PM ET",12.125,"GS"
"PG","Shaun Livingston",3000,"OKC@GS 10:30PM ET",8.938,"GS"
"PG","Semaj Christon",3000,"OKC@GS 10:30PM ET",9.750,"OKC"
"PG","Cameron Payne",3000,"OKC@GS 10:30PM ET",0,"OKC"
"SG/SF","Patrick McCaw",3000,"OKC@GS 10:30PM ET",7.000,"GS"
"SG","Anthony Morrow",3000,"OKC@GS 10:30PM ET",9.500,"OKC"
"SG","Alex Abrines",3000,"OKC@GS 10:30PM ET",5.375,"OKC"
"SF","Kyle Singler",3000,"OKC@GS 10:30PM ET",7.167,"OKC"
"SF","Josh Huestis",3000,"OKC@GS 10:30PM ET",0,"OKC"
"PF/C","Joffrey Lauvergne",3000,"OKC@GS 10:30PM ET",7.000,"OKC"
"PF","David West",3000,"OKC@GS 10:30PM ET",8.875,"GS"
"PF","James Michael McAdoo",3000,"OKC@GS 10:30PM ET",6.250,"GS"
"PF","Kevon Looney",3000,"OKC@GS 10:30PM ET",5.063,"GS"
"C","Nick Collison",3000,"OKC@GS 10:30PM ET",0,"OKC"
"C","Anderson Varejao",3000,"OKC@GS 10:30PM ET",1.000,"GS"
"C","JaVale McGee",3000,"OKC@GS 10:30PM ET",3.250,"GS"
"C","Damian Jones",3000,"OKC@GS 10:30PM ET",0,"GS"
"PG","Jameer Nelson",3000,"Den@Min 08:00PM ET",15.500,"Den"
"PG","John Lucas III",3000,"Den@Min 08:00PM ET",0,"Min"
"PG","Tyus Jones",3000,"Den@Min 08:00PM ET",15.000,"Min"
"PG","Malik Beasley",3000,"Den@Min 08:00PM ET",0,"Den"
"SG/SF","Brandon Rush",3000,"Den@Min 08:00PM ET",8.000,"Min"
"SG/SF","Shabazz Muhammad",3000,"Den@Min 08:00PM ET",10.083,"Min"
"SG","Mike Miller",3000,"Den@Min 08:00PM ET",0,"Den"
"PF","Jordan Hill",3000,"Den@Min 08:00PM ET",6.750,"Min"
"PF","Darrell Arthur",3000,"Den@Min 08:00PM ET",0,"Den"
"PF","Nemanja Bjelica",3000,"Den@Min 08:00PM ET",11.583,"Min"
"PF","Adreian Payne",3000,"Den@Min 08:00PM ET",0,"Min"
"PF","Jarnell Stokes",3000,"Den@Min 08:00PM ET",0,"Den"
"C","Cole Aldrich",3000,"Den@Min 08:00PM ET",8.250,"Min"
"C","Nikola Pekovic",3000,"Den@Min 08:00PM ET",0,"Min"
"C","Juancho Hernangomez",3000,"Den@Min 08:00PM ET",0.000,"Den"
"PG/SG","Garrett Temple",3000,"Sac@Orl 07:00PM ET",11.200,"Sac"
"PG","C.J. Watson",3000,"Sac@Orl 07:00PM ET",2.625,"Orl"
"PG","D.J. Augustin",3000,"Sac@Orl 07:00PM ET",13.063,"Orl"
"SG/SF","Mario Hezonja",3000,"Sac@Orl 07:00PM ET",11.000,"Orl"
"SG","Jodie Meeks",3000,"Sac@Orl 07:00PM ET",0,"Orl"
"SG","C.J. Wilcox",3000,"Sac@Orl 07:00PM ET",3.083,"Orl"
"SG","Ben McLemore",3000,"Sac@Orl 07:00PM ET",12.350,"Sac"
"SG","Malachi Richardson",3000,"Sac@Orl 07:00PM ET",0.000,"Sac"
"SF/PF","Anthony Tolliver",3000,"Sac@Orl 07:00PM ET",7.500,"Sac"
"SF","Damjan Rudez",3000,"Sac@Orl 07:00PM ET",0,"Orl"
"PF","Arinze Onuaku",3000,"Sac@Orl 07:00PM ET",0,"Orl"
"PF","Omri Casspi",3000,"Sac@Orl 07:00PM ET",6.250,"Sac"
"PF","Skal Labissiere",3000,"Sac@Orl 07:00PM ET",0,"Sac"
"PF","Stephen Zimmerman Jr.",3000,"Sac@Orl 07:00PM ET",6.500,"Orl"
"C","Willie Cauley-Stein",3000,"Sac@Orl 07:00PM ET",5.938,"Sac"
"C","Georgios Papagiannis",3000,"Sac@Orl 07:00PM ET",0,"Sac"
"PG","Mo Williams",3000,"Bos@Cle 08:00PM ET",0,"Cle"
"PG","Demetrius Jackson",3000,"Bos@Cle 08:00PM ET",0,"Bos"
"PG","Kay Felder",3000,"Bos@Cle 08:00PM ET",4.750,"Cle"
"SG/SF","Mike Dunleavy",3000,"Bos@Cle 08:00PM ET",12.500,"Cle"
"SG/SF","Gerald Green",3000,"Bos@Cle 08:00PM ET",9.917,"Bos"
"SG","James Jones",3000,"Bos@Cle 08:00PM ET",5.500,"Cle"
"SG","DeAndre Liggins",3000,"Bos@Cle 08:00PM ET",4.583,"Cle"
"SG","Jordan McRae",3000,"Bos@Cle 08:00PM ET",2.000,"Cle"
"SG","James Young",3000,"Bos@Cle 08:00PM ET",0,"Bos"
"SF","Richard Jefferson",3000,"Bos@Cle 08:00PM ET",13.750,"Cle"
"PF","Channing Frye",3000,"Bos@Cle 08:00PM ET",16.000,"Cle"
"PF","Jonas Jerebko",3000,"Bos@Cle 08:00PM ET",9.833,"Bos"
"PF","Jordan Mickey",3000,"Bos@Cle 08:00PM ET",7.000,"Bos"
"C","Chris Andersen",3000,"Bos@Cle 08:00PM ET",8.000,"Cle"
