"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12900,"OKC@GS 10:30PM ET",76.750,"OKC"
"PF/C","DeMarcus Cousins",10600,"Sac@Orl 07:00PM ET",44.000,"Sac"
"SF/PF","Kevin Durant",10200,"OKC@GS 10:30PM ET",54.875,"GS"
"SF/PF","LeBron James",9600,"Bos@Cle 08:00PM ET",48.375,"Cle"
"PG","Giannis Antetokounmpo",9000,"Ind@Mil 08:00PM ET",49.875,"Mil"
"PG","Stephen Curry",8800,"OKC@GS 10:30PM ET",36.938,"GS"
"SF","Paul George",8400,"Ind@Mil 08:00PM ET",40.563,"Ind"
"C","Karl-Anthony Towns",7900,"Den@Min 08:00PM ET",35.167,"Min"
"PF/C","Draymond Green",7800,"OKC@GS 10:30PM ET",42.625,"GS"
"PG","Kyrie Irving",7600,"Bos@Cle 08:00PM ET",39.625,"Cle"
"PG","Isaiah Thomas",7500,"Bos@Cle 08:00PM ET",41.000,"Bos"
"PF/C","Myles Turner",7300,"Ind@Mil 08:00PM ET",38.688,"Ind"
"PF/C","Kevin Love",7100,"Bos@Cle 08:00PM ET",37.875,"Cle"
"PF/C","Nikola Jokic",6800,"Den@Min 08:00PM ET",30.167,"Den"
"PF/C","Gorgui Dieng",6700,"Den@Min 08:00PM ET",38.250,"Min"
"PG/SG","Victor Oladipo",6600,"OKC@GS 10:30PM ET",27.417,"OKC"
"C","Jusuf Nurkic",6500,"Den@Min 08:00PM ET",38.667,"Den"
"SF","Rudy Gay",6500,"Sac@Orl 07:00PM ET",39.800,"Sac"
"C","Nikola Vucevic",6400,"Sac@Orl 07:00PM ET",37.563,"Orl"
"SG","Klay Thompson",6300,"OKC@GS 10:30PM ET",26.750,"GS"
"C","Al Horford",6300,"Bos@Cle 08:00PM ET",30.667,"Bos"
"SG","Zach LaVine",6200,"Den@Min 08:00PM ET",34.500,"Min"
"SF","Andrew Wiggins",6100,"Den@Min 08:00PM ET",30.917,"Min"
"SG","Evan Fournier",6100,"Sac@Orl 07:00PM ET",29.313,"Orl"
"PG","Emmanuel Mudiay",6000,"Den@Min 08:00PM ET",31.500,"Den"
"SG/SF","Will Barton",6000,"Den@Min 08:00PM ET",29.750,"Den"
"PG","Elfrid Payton",6000,"Sac@Orl 07:00PM ET",32.500,"Orl"
"PF","Thaddeus Young",5900,"Ind@Mil 08:00PM ET",30.125,"Ind"
"C","Steven Adams",5900,"OKC@GS 10:30PM ET",30.583,"OKC"
"PG","Jeff Teague",5800,"Ind@Mil 08:00PM ET",26.563,"Ind"
"SF","Danilo Gallinari",5800,"Den@Min 08:00PM ET",25.667,"Den"
"SG","Avery Bradley",5800,"Bos@Cle 08:00PM ET",42.667,"Bos"
"SF/PF","Aaron Gordon",5700,"Sac@Orl 07:00PM ET",26.500,"Orl"
"PF/C","Serge Ibaka",5700,"Sac@Orl 07:00PM ET",23.563,"Orl"
"SF","Jae Crowder",5700,"Bos@Cle 08:00PM ET",32.667,"Bos"
"SF/PF","Jabari Parker",5600,"Ind@Mil 08:00PM ET",25.000,"Mil"
"PG","Ricky Rubio",5600,"Den@Min 08:00PM ET",19.625,"Min"
"SG","Monta Ellis",5500,"Ind@Mil 08:00PM ET",25.813,"Ind"
"C","Greg Monroe",5400,"Ind@Mil 08:00PM ET",28.688,"Mil"
"PG","Darren Collison",5300,"Sac@Orl 07:00PM ET",0,"Sac"
"C","Enes Kanter",5200,"OKC@GS 10:30PM ET",21.833,"OKC"
"PG","Ty Lawson",5100,"Sac@Orl 07:00PM ET",24.300,"Sac"
"PF","Kenneth Faried",5000,"Den@Min 08:00PM ET",25.667,"Den"
"PG","Kris Dunn",4900,"Den@Min 08:00PM ET",20.250,"Min"
"SG","Gary Harris",4800,"Den@Min 08:00PM ET",0,"Den"
"PG/SG","Matthew Dellavedova",4700,"Ind@Mil 08:00PM ET",27.313,"Mil"
"SF","Wilson Chandler",4500,"Den@Min 08:00PM ET",19.583,"Den"
"SG/SF","Andre Roberson",4400,"OKC@GS 10:30PM ET",25.917,"OKC"
"PG/SG","Marcus Smart",4400,"Bos@Cle 08:00PM ET",0,"Bos"
"SG","J.R. Smith",4300,"Bos@Cle 08:00PM ET",21.563,"Cle"
"C","Tristan Thompson",4200,"Bos@Cle 08:00PM ET",20.125,"Cle"
"SF","Matt Barnes",4000,"Sac@Orl 07:00PM ET",22.050,"Sac"
"SF/PF","Jerami Grant",3900,"OKC@GS 10:30PM ET",15.625,"OKC"
"PF/C","Amir Johnson",3900,"Bos@Cle 08:00PM ET",13.583,"Bos"
"SG","Arron Afflalo",3800,"Sac@Orl 07:00PM ET",16.100,"Sac"
"C","Tyler Zeller",3800,"Bos@Cle 08:00PM ET",17.917,"Bos"
"C","Zaza Pachulia",3700,"OKC@GS 10:30PM ET",17.250,"GS"
"PG/SG","Jamal Murray",3700,"Den@Min 08:00PM ET",6.417,"Den"
"SG/SF","C.J. Miles",3600,"Ind@Mil 08:00PM ET",20.063,"Ind"
"PF","Domantas Sabonis",3600,"OKC@GS 10:30PM ET",9.000,"OKC"
"SF","Andre Iguodala",3500,"OKC@GS 10:30PM ET",17.875,"GS"
"SF/PF","Jeff Green",3500,"Sac@Orl 07:00PM ET",16.438,"Orl"
