"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Timofey Mozgov",3700,"Dal@LAL 10:30PM ET",18.875,"LAL"
"SG","Tony Allen",3600,"Den@Mem 08:00PM ET",15.625,"Mem"
"PF","Omri Casspi",3600,"NO@Sac 10:30PM ET",10.100,"Sac"
"PG/SG","Tim Hardaway Jr.",3600,"Atl@Cle 07:00PM ET",17.833,"Atl"
"C","Mike Muscala",3600,"Atl@Cle 07:00PM ET",19.875,"Atl"
"SF","Vince Carter",3500,"Den@Mem 08:00PM ET",17.893,"Mem"
"SF","Brandon Ingram",3500,"Dal@LAL 10:30PM ET",13.857,"LAL"
"PG","Langston Galloway",3400,"NO@Sac 10:30PM ET",14.750,"NO"
"SG","Arron Afflalo",3300,"NO@Sac 10:30PM ET",14.406,"Sac"
"C","Kosta Koufos",3300,"NO@Sac 10:30PM ET",17.063,"Sac"
"PF/C","Luis Scola",3200,"Min@Bkn 07:30PM ET",16.167,"Bkn"
"PG/SG","Iman Shumpert",3200,"Atl@Cle 07:00PM ET",16.458,"Cle"
"PF","Channing Frye",3200,"Atl@Cle 07:00PM ET",17.688,"Cle"
"SF","Justin Anderson",3200,"Dal@LAL 10:30PM ET",14.958,"Dal"
"C","Tarik Black",3200,"Dal@LAL 10:30PM ET",13.214,"LAL"
"PG","Greivis Vasquez",3100,"Min@Bkn 07:30PM ET",7.000,"Bkn"
"PG/SG","Jamal Murray",3100,"Den@Mem 08:00PM ET",8.917,"Den"
"PG/SG","Garrett Temple",3100,"NO@Sac 10:30PM ET",14.781,"Sac"
"SF/PF","Dante Cunningham",3100,"NO@Sac 10:30PM ET",11.958,"NO"
"SF","P.J. Tucker",3100,"Pho@Por 10:00PM ET",8.964,"Pho"
"PF","Jared Dudley",3100,"Pho@Por 10:00PM ET",16.250,"Pho"
"PG","John Lucas III",3000,"Min@Bkn 07:30PM ET",7.500,"Min"
"PG","Tyus Jones",3000,"Min@Bkn 07:30PM ET",12.167,"Min"
"SG/SF","Brandon Rush",3000,"Min@Bkn 07:30PM ET",7.100,"Min"
"SG/SF","Shabazz Muhammad",3000,"Min@Bkn 07:30PM ET",12.100,"Min"
"SG","Randy Foye",3000,"Min@Bkn 07:30PM ET",0,"Bkn"
"SG","Joe Harris",3000,"Min@Bkn 07:30PM ET",16.083,"Bkn"
"SF","Caris LeVert",3000,"Min@Bkn 07:30PM ET",0,"Bkn"
"SF","Anthony Bennett",3000,"Min@Bkn 07:30PM ET",9.500,"Bkn"
"PF","Jordan Hill",3000,"Min@Bkn 07:30PM ET",6.250,"Min"
"PF","Nemanja Bjelica",3000,"Min@Bkn 07:30PM ET",11.250,"Min"
"PF","Adreian Payne",3000,"Min@Bkn 07:30PM ET",7.250,"Min"
"PF","Chris McCullough",3000,"Min@Bkn 07:30PM ET",4.125,"Bkn"
"C","Nikola Pekovic",3000,"Min@Bkn 07:30PM ET",0,"Min"
"PG/SG","Andrew Harrison",3000,"Den@Mem 08:00PM ET",12.750,"Mem"
"PG","Wade Baldwin IV",3000,"Den@Mem 08:00PM ET",15.542,"Mem"
"PG","Malik Beasley",3000,"Den@Mem 08:00PM ET",0.750,"Den"
"SG","Mike Miller",3000,"Den@Mem 08:00PM ET",2.750,"Den"
"SG","Troy Daniels",3000,"Den@Mem 08:00PM ET",2.167,"Mem"
"PF/C","Jarell Martin",3000,"Den@Mem 08:00PM ET",11.958,"Mem"
"PF","Darrell Arthur",3000,"Den@Mem 08:00PM ET",6.000,"Den"
"PF","Jarnell Stokes",3000,"Den@Mem 08:00PM ET",0,"Den"
"PF","Troy Williams",3000,"Den@Mem 08:00PM ET",7.875,"Mem"
"PF","Deyonta Davis",3000,"Den@Mem 08:00PM ET",6.900,"Mem"
"C","Brandan Wright",3000,"Den@Mem 08:00PM ET",0,"Mem"
"C","Juancho Hernangomez",3000,"Den@Mem 08:00PM ET",2.875,"Den"
"PG","Jordan Farmar",3000,"NO@Sac 10:30PM ET",16.875,"Sac"
"SG","Ben McLemore",3000,"NO@Sac 10:30PM ET",13.500,"Sac"
